"","VEND","PANID","UNITS","OUTLET","DOLLARS","WEEK","ITEM","F","D","PR","VOL_EQ","SIZE","FLAVOR.SCENT","FORM","PACKAGE","PRODUCT.TYPE","STORE.LOCATION","ADDITIVES","TYPE.OF.FORMULAT","COLOR","COUNT","VENDORITEMCOUNT"
"1","10158","1315697",1,"GR",5.59,1449,"7704","NONE",0,0,0.25,"REGULAR","ORIGINAL","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","SODIUM FLUORIDE","SENSITIVE ANTI CAVTY","PURPLE",1,12
"2","10158","1123109",1,"GR",5.59,1458,"7704","NONE",0,0,0.25,"REGULAR","ORIGINAL","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","SODIUM FLUORIDE","SENSITIVE ANTI CAVTY","PURPLE",1,12
"3","10158","1102236",1,"GR",5.59,1463,"7704","NONE",0,0,0.25,"REGULAR","ORIGINAL","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","SODIUM FLUORIDE","SENSITIVE ANTI CAVTY","PURPLE",1,12
"4","10158","1103234",1,"GR",3.22,1467,"7704","B",2,1,0.25,"REGULAR","ORIGINAL","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","SODIUM FLUORIDE","SENSITIVE ANTI CAVTY","PURPLE",1,12
"5","10158","1102236",1,"GR",5.59,1470,"7704","NONE",0,0,0.25,"REGULAR","ORIGINAL","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","SODIUM FLUORIDE","SENSITIVE ANTI CAVTY","PURPLE",1,12
"6","10158","3370122",1,"GR",5.29,1430,"7704","NONE",0,0,0.25,"REGULAR","ORIGINAL","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","SODIUM FLUORIDE","SENSITIVE ANTI CAVTY","PURPLE",1,12
"7","10158","3370122",1,"GR",5.29,1436,"7704","NONE",0,0,0.25,"REGULAR","ORIGINAL","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","SODIUM FLUORIDE","SENSITIVE ANTI CAVTY","PURPLE",1,12
"8","10158","3130765",1,"GR",5.29,1449,"7704","NONE",0,0,0.25,"REGULAR","ORIGINAL","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","SODIUM FLUORIDE","SENSITIVE ANTI CAVTY","PURPLE",1,12
"9","10158","3165910",1,"GR",5.29,1449,"7704","NONE",0,0,0.25,"REGULAR","ORIGINAL","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","SODIUM FLUORIDE","SENSITIVE ANTI CAVTY","PURPLE",1,12
"10","10158","1308569",1,"GR",5.59,1440,"7704","NONE",0,0,0.25,"REGULAR","ORIGINAL","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","SODIUM FLUORIDE","SENSITIVE ANTI CAVTY","PURPLE",1,12
"11","10158","1223628",1,"GR",5.59,1444,"7704","NONE",0,0,0.25,"REGULAR","ORIGINAL","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","SODIUM FLUORIDE","SENSITIVE ANTI CAVTY","PURPLE",1,12
"12","10158","1103234",1,"GR",3.16,1446,"7704","B",0,1,0.25,"REGULAR","ORIGINAL","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","SODIUM FLUORIDE","SENSITIVE ANTI CAVTY","PURPLE",1,12
"13","10158","1307868",1,"GR",3.16,1446,"7704","B",0,1,0.25,"REGULAR","ORIGINAL","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","SODIUM FLUORIDE","SENSITIVE ANTI CAVTY","PURPLE",1,12
"14","10158","1313114",1,"GR",3.49,1467,"7704","B",2,1,0.25,"REGULAR","ORIGINAL","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","SODIUM FLUORIDE","SENSITIVE ANTI CAVTY","PURPLE",1,12
"15","10158","3107045",1,"DR",3.99,1445,"7704","B",0,1,0.25,"REGULAR","ORIGINAL","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","SODIUM FLUORIDE","SENSITIVE ANTI CAVTY","PURPLE",1,12
"16","10158","3184168",1,"GR",5.29,1431,"7704","NONE",0,0,0.25,"REGULAR","ORIGINAL","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","SODIUM FLUORIDE","SENSITIVE ANTI CAVTY","PURPLE",1,12
"17","10158","1104315",1,"DR",3.99,1429,"7704","B",0,1,0.25,"REGULAR","ORIGINAL","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","SODIUM FLUORIDE","SENSITIVE ANTI CAVTY","PURPLE",1,12
"18","10158","1313114",1,"DR",3.99,1438,"7704","B",0,1,0.25,"REGULAR","ORIGINAL","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","SODIUM FLUORIDE","SENSITIVE ANTI CAVTY","PURPLE",1,12
"19","10158","1184895",1,"DR",4.49,1469,"7704","B",0,1,0.25,"REGULAR","ORIGINAL","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","SODIUM FLUORIDE","SENSITIVE ANTI CAVTY","PURPLE",1,12
"20","10158","1224279",1,"DR",4.49,1472,"7704","A",0,1,0.25,"REGULAR","ORIGINAL","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","SODIUM FLUORIDE","SENSITIVE ANTI CAVTY","PURPLE",1,12
"21","10158","1813089",1,"GR",4.98,1467,"8111","B",0,1,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"22","10158","1310318",1,"GR",5.99,1469,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"23","10158","1119008",1,"GR",7.19,1431,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"24","10158","1308569",1,"GR",4.49,1445,"7704","NONE",0,1,0.25,"REGULAR","ORIGINAL","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","SODIUM FLUORIDE","SENSITIVE ANTI CAVTY","PURPLE",1,12
"25","10158","1308569",1,"GR",5.31,1462,"7704","NONE",0,0,0.25,"REGULAR","ORIGINAL","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","SODIUM FLUORIDE","SENSITIVE ANTI CAVTY","PURPLE",1,12
"26","10158","1107367",1,"GR",5.37,1466,"7704","NONE",0,0,0.25,"REGULAR","ORIGINAL","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","SODIUM FLUORIDE","SENSITIVE ANTI CAVTY","PURPLE",1,12
"27","10158","3129668",1,"GR",4.79,1431,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"28","10158","3129668",1,"GR",4.99,1443,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"29","10158","3304139",1,"GR",4.99,1447,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"30","10158","3129668",1,"GR",4.79,1463,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"31","10158","3333963",1,"GR",4.79,1467,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"32","10158","3304139",1,"GR",4.79,1467,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"33","10158","3347393",1,"GR",4.79,1468,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"34","10158","3129668",1,"GR",4.79,1469,"8111","NONE",0,0,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"35","10158","1123752",1,"GR",5.11,1466,"8111","NONE",2,1,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
"36","10158","3308593",1,"DR",4.99,1431,"8111","A+",0,1,0.25,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","MISSING",1,12
