"","PANID","VEND","UNITS","OUTLET","DOLLARS","WEEK","ITEM","F","D","PR","VOL_EQ","SIZE","FLAVOR.SCENT","FORM","PACKAGE","PRODUCT.TYPE","STORE.LOCATION","ADDITIVES","TYPE.OF.FORMULAT","COLOR","COUNT","VENDORITEMCOUNT","Panelist.Type","Combined.Pre.Tax.Income.of.HH","Family.Size","HH_RACE","Type.of.Residential.Possession","COUNTY","HH_AGE","HH_EDU","HH_OCC","Age.Group.Applied.to.Male.HH","Education.Level.Reached.by.Male.HH","Occupation.Code.of.Male.HH","Male.Working.Hour.Code","MALE_SMOKE","Age.Group.Applied.to.Female.HH","Education.Level.Reached.by.Female.HH","Occupation.Code.of.Female.HH","Female.Working.Hour.Code","FEM_SMOKE","Number.of.Dogs","Number.of.Cats","Children.Group.Code","Marital.Status","Language","Number.of.TVs.Used.by.HH","Number.of.TVs.Hooked.to.Cable","HISP_FLAG","HISP_CAT","HH.Head.Race..RACE2.","HH.Head.Race..RACE3.","Microwave.Owned.by.HH","ZIPCODE","FIPSCODE","market.based.upon.zipcode","IRI.Geography.Number","EXT_FACT"
"1","1100032","33200",2,"GR",1,1450,"19120","B",2,1,0.375,"FAMILY","ORIGINAL","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","FLRD AND BAKING SODA","WHITENING ANTI CAVTY","WHITE",1,54,0,6,2,"1",2,"C",5,7,6,7,9,11,7,".",5,7,6,3,"0",0,1,3,1,".","2","1","0",".","1",1,"1",1201,25003,1,1,1
"2","1100032","37000",1,"DR",17.99,1441,"36367","B",0,1,0.25,"REGULAR","REGULAR","STRIPS","BOX","TOOTH WHITENER","SHELF STABLE","PEROXIDE","WHITENING","MISSING",1,145,0,6,2,"1",2,"C",5,7,6,7,9,11,7,".",5,7,6,3,"0",0,1,3,1,".","2","1","0",".","1",1,"1",1201,25003,1,1,1
"3","1100032","33200",2,"GR",1,1450,"41101","B",2,1,0.375,"REGULAR","ORIGINAL","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","SODIUM FLUORIDE","ANTI CAVITY FLUORIDE","MISSING",1,54,0,6,2,"1",2,"C",5,7,6,7,9,11,7,".",5,7,6,3,"0",0,1,3,1,".","2","1","0",".","1",1,"1",1201,25003,1,1,1
"4","1100032","35000",1,"GR",1.49,1434,"50900","A",1,1,0.4,"REGULAR","REGULAR","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","SODIUM FLUORIDE","ANTI CAVITY","WHITE",1,117,0,6,2,"1",2,"C",5,7,6,7,9,11,7,".",5,7,6,3,"0",0,1,3,1,".","2","1","0",".","1",1,"1",1201,25003,1,1,1
"5","1100057","33200",2,"GR",7.98,1467,"18053","NONE",0,0,0.375,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","BKSODA PEROXIDE FLRD","WHTNN TRT CTR AN CVT","MISSING",1,54,0,10,2,"1",2,"C",6,6,4,6,4,10,4,"0",6,6,4,3,"0",1,0,8,2,".","3","3","0",".","1",1,"1",1201,25003,1,1,1
"6","1100057","33200",1,"GR",3.99,1434,"18660","NONE",0,0,0.2688,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","BKSODA PEROXIDE FLRD","WHTNN TRT CTR AN CVT","MISSING",1,54,0,10,2,"1",2,"C",6,6,4,6,4,10,4,"0",6,6,4,3,"0",1,0,8,2,".","3","3","0",".","1",1,"1",1201,25003,1,1,1
"7","1100057","33200",2,"GR",7.98,1459,"18660","NONE",0,0,0.2688,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","BKSODA PEROXIDE FLRD","WHTNN TRT CTR AN CVT","MISSING",1,54,0,10,2,"1",2,"C",6,6,4,6,4,10,4,"0",6,6,4,3,"0",1,0,8,2,".","3","3","0",".","1",1,"1",1201,25003,1,1,1
"8","1100180","53100",5,"GR",9.95,1457,"32210","NONE",0,0,0.4,"REGULAR","REGULAR","PASTE AND GEL","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","SODIUM FLUORIDE","TRIPLE PROTECTION","RED WHITE & BLUE",1,39,6,11,2,"1",2,"C",5,5,1,5,6,6,3,"1",5,5,1,3,"0",1,1,8,2,".","2","2","0",".","1",1,"1",1201,25003,1,1,1
"9","1100180","53100",1,"GR",2.39,1427,"32210","NONE",0,0,0.4,"REGULAR","REGULAR","PASTE AND GEL","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","SODIUM FLUORIDE","TRIPLE PROTECTION","RED WHITE & BLUE",1,39,6,11,2,"1",2,"C",5,5,1,5,6,6,3,"1",5,5,1,3,"0",1,1,8,2,".","2","2","0",".","1",1,"1",1201,25003,1,1,1
"10","1100180","53100",5,"GR",4.8,1458,"32210","B",2,1,0.4,"REGULAR","REGULAR","PASTE AND GEL","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","SODIUM FLUORIDE","TRIPLE PROTECTION","RED WHITE & BLUE",1,39,6,11,2,"1",2,"C",5,5,1,5,6,6,3,"1",5,5,1,3,"0",1,1,8,2,".","2","2","0",".","1",1,"1",1201,25003,1,1,1
"11","1100180","53100",2,"GR",2.36,1432,"32210","NONE",0,1,0.4,"REGULAR","REGULAR","PASTE AND GEL","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","SODIUM FLUORIDE","TRIPLE PROTECTION","RED WHITE & BLUE",1,39,6,11,2,"1",2,"C",5,5,1,5,6,6,3,"1",5,5,1,3,"0",1,1,8,2,".","2","2","0",".","1",1,"1",1201,25003,1,1,1
"12","1100180","53100",1,"GR",2.39,1444,"33300","NONE",0,0,0.375,"REGULAR","REGULAR","PASTE AND GEL","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","FLUORIDE","TRIPLE PROTECTION","RED WHITE & GREEN",1,39,6,11,2,"1",2,"C",5,5,1,5,6,6,3,"1",5,5,1,3,"0",1,1,8,2,".","2","2","0",".","1",1,"1",1201,25003,1,1,1
"13","1100180","53100",1,"GR",2.39,1431,"32210","NONE",0,0,0.4,"REGULAR","REGULAR","PASTE AND GEL","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","SODIUM FLUORIDE","TRIPLE PROTECTION","RED WHITE & BLUE",1,39,6,11,2,"1",2,"C",5,5,1,5,6,6,3,"1",5,5,1,3,"0",1,1,8,2,".","2","2","0",".","1",1,"1",1201,25003,1,1,1
"14","1100180","53100",3,"GR",4.11,1449,"32210","NONE",0,1,0.4,"REGULAR","REGULAR","PASTE AND GEL","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","SODIUM FLUORIDE","TRIPLE PROTECTION","RED WHITE & BLUE",1,39,6,11,2,"1",2,"C",5,5,1,5,6,6,3,"1",5,5,1,3,"0",1,1,8,2,".","2","2","0",".","1",1,"1",1201,25003,1,1,1
"15","1100214","35000",1,"GR",3.49,1467,"76201","NONE",0,0,0.375,"REGULAR","REGULAR","GEL","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","SODIUM FLUORIDE","WHT ANT ANTANTBRTFRS","GREEN",1,117,0,7,1,"1",2,"C",6,5,4,7,9,11,7,".",6,5,4,3,"0",1,2,8,3,".","4","4","0",".","1",1,"1",1201,25003,1,1,1
"16","1100214","35000",1,"GR",1.83,1436,"52541","NONE",0,1,0.375,"REGULAR","MISSING","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","FLUORIDE","SNSTV WHTNNG ANT-CVT","MISSING",1,117,0,7,1,"1",2,"C",6,5,4,7,9,11,7,".",6,5,4,3,"0",1,2,8,3,".","4","4","0",".","1",1,"1",1201,25003,1,1,1
"17","1100214","35000",1,"GR",2.99,1436,"74126","NONE",0,0,0.375,"REGULAR","REGULAR","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","SODIUM FLUORIDE","WHTN ANTC ANTG ANTP","WHITE",1,117,0,7,1,"1",2,"C",6,5,4,7,9,11,7,".",6,5,4,3,"0",1,2,8,3,".","4","4","0",".","1",1,"1",1201,25003,1,1,1
"18","1100248","53100",2,"GR",1.2,1436,"32210","NONE",0,1,0.4,"REGULAR","REGULAR","PASTE AND GEL","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","SODIUM FLUORIDE","TRIPLE PROTECTION","RED WHITE & BLUE",1,39,6,1,1,"1",2,"C",6,4,13,7,9,11,7,".",6,4,13,1,"0",0,0,8,4,".","2","2","0",".","1",1,"1",1201,25003,1,1,1
"19","1100248","53100",1,"GR",0.99,1436,"32250","NONE",0,1,0.4,"REGULAR","EXTRA FRESH","PASTE AND GEL","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","SODIUM FLUORIDE","TRIPLE PROTECTION","RED WHITE & BLUE",1,39,6,1,1,"1",2,"C",6,4,13,7,9,11,7,".",6,4,13,1,"0",0,0,8,4,".","2","2","0",".","1",1,"1",1201,25003,1,1,1
"20","1100248","53100",1,"GR",0.75,1430,"32210","NONE",0,1,0.4,"REGULAR","REGULAR","PASTE AND GEL","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","SODIUM FLUORIDE","TRIPLE PROTECTION","RED WHITE & BLUE",1,39,6,1,1,"1",2,"C",6,4,13,7,9,11,7,".",6,4,13,1,"0",0,0,8,4,".","2","2","0",".","1",1,"1",1201,25003,1,1,1
"21","1100248","53100",1,"GR",0.99,1450,"32210","B",2,1,0.4,"REGULAR","REGULAR","PASTE AND GEL","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","SODIUM FLUORIDE","TRIPLE PROTECTION","RED WHITE & BLUE",1,39,6,1,1,"1",2,"C",6,4,13,7,9,11,7,".",6,4,13,1,"0",0,0,8,4,".","2","2","0",".","1",1,"1",1201,25003,1,1,1
"22","1100255","53100",2,"GR",6.98,1457,"34125","NONE",0,1,0.35,"REGULAR","FRESH MINT","PASTE AND GEL","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","SODIUM FLUORIDE","TRIPLE PROTECTION","RED WHITE & BLUE",1,39,0,4,1,"1",2,"C",6,4,13,7,9,11,7,".",6,4,13,5,"0",0,0,8,4,".","5","4","0",".","1",1,"1",1201,25003,1,1,1
