"","PANID","WEEK","brand_10158","brand_33200","brand_35000","brand_37000","brand_53100","brand_77326","Combined.Pre.Tax.Income.of.HH","MALE_SMOKE","FEM_SMOKE","LOYALTY.10158","LOYALTY.33200","LOYALTY.35000","LOYALTY.37000","LOYALTY.53100","LOYALTY.77326","LOYALTY.0","AVGRATE.0","DISPLAY.0","PRICEREDUCTION.0","FEATURE.0","AVGRATE.10158","DISPLAY.10158","PRICEREDUCTION.10158","FEATURE.10158","AVGRATE.33200","DISPLAY.33200","PRICEREDUCTION.33200","FEATURE.33200","AVGRATE.35000","DISPLAY.35000","PRICEREDUCTION.35000","FEATURE.35000","AVGRATE.37000","DISPLAY.37000","PRICEREDUCTION.37000","FEATURE.37000","AVGRATE.53100","DISPLAY.53100","PRICEREDUCTION.53100","FEATURE.53100","AVGRATE.77326","DISPLAY.77326","PRICEREDUCTION.77326","FEATURE.77326","choice","choiceLabel"
"1","1100032","1434",0,0,1,0,0,0,6,0,0,0,0.5,0.5,0,0,0,0,17.4517816524356,0,0,0,22.2285714285714,1,0,0,7.9208339403448,2,0,0,7.33146941246221,2,1,3,8.11689650650587,2,1,3,4.29957744229838,2,1,3,14.8977196044212,1,1,0,3,"35000"
"2","1100032","1450",0,1,0,0,0,0,6,0,0,0,0.5,0.5,0,0,0,0,18.5951585884604,2,0,2,21.212,0,1,2,8.73515613940713,2,1,2,7.97735718127644,0,1,4,8.29407268723336,2,1,4,4.67589338432636,2,1,3,13.2800744618965,1,0,0,2,"33200"
"3","1100057","1434",0,1,0,0,0,0,10,0,0,0,1,0,0,0,0,0,17.4517816524356,0,0,0,22.2285714285714,1,0,0,7.9208339403448,2,0,0,7.33146941246221,2,1,3,8.11689650650587,2,1,3,4.29957744229838,2,1,3,14.8977196044212,1,1,0,2,"33200"
"4","1100057","1459",0,1,0,0,0,0,10,0,0,0,1,0,0,0,0,0,18.0849830530377,0,0,0,22.96,0,1,0,7.14179521682814,0,1,0,5.21821486297012,2,1,4,8.08645198070281,2,1,4,5.44599949959127,0,1,4,13.8133333333333,2,1,0,2,"33200"
"5","1100057","1467",0,1,0,0,0,0,10,0,0,0,1,0,0,0,0,0,20.5830042537228,0,1,2,17.3105882352941,2,1,4,7.66619144190751,0,1,3,5.91538834623749,2,1,4,8.2987773416145,2,1,3,6.3386401212659,2,1,4,13.8153846153846,2,1,0,2,"33200"
"6","1100180","1427",0,0,0,0,1,0,11,1,0,0,0,0,0,1,0,0,16.9973770909717,2,1,2,22.7422222222222,0,0,0,4.70425190183686,0,0,0,7.67509359208353,1,1,4,8.03533694637142,2,1,3,7.58835100477628,1,1,0,13.9832926119837,1,0,0,5,"53100"
"7","1100180","1431",0,0,0,0,1,0,11,1,0,0,0,0,0,1,0,0,17.902607178403,0,0,0,21.6266666666667,0,1,4,9.4657964217469,1,1,0,5.64214369384996,2,1,4,7.53280896418598,1,1,2,8.03251807057556,0,1,3,11.0736224101669,0,1,2,5,"53100"
"8","1100180","1432",0,0,0,0,1,0,11,1,0,0,0,0,0,1,0,0,17.2196969932916,0,0,0,23.76,0,0,0,5.97164714185794,0,1,0,6.31053831095448,2,1,2,8.6821108346687,2,1,3,5.02941634412691,2,1,4,15.14,1,1,0,5,"53100"
"9","1100180","1444",0,0,0,0,1,0,11,1,0,0,0,0,0,1,0,0,19.873829707711,0,0,0,22.2266666666667,0,1,3,10.5839111117571,1,1,2,7.87510267789308,2,1,3,8.02743946265466,0,1,3,6.40950085314306,1,1,0,14.5825641025641,0,0,0,5,"53100"
"10","1100180","1449",0,0,0,0,1,0,11,1,0,0,0,0,0,1,0,0,19.1758296257311,0,1,0,21.76,0,0,0,2.88355555555556,0,0,2,7.9312020763399,2,1,3,8.81468909044704,2,1,4,4.9814641759207,1,1,0,11.2228397859065,0,1,0,5,"53100"
"11","1100180","1457",0,0,0,0,1,0,11,1,0,0,0,0,0,1,0,0,18.0849830530377,0,1,0,22.0266666666667,0,0,0,7.70693002749756,0,0,0,8.61230426608238,0,1,3,7.71152937039474,2,1,3,6.1285042558086,1,1,0,9.30666666666667,0,1,2,5,"53100"
"12","1100180","1458",0,0,0,0,1,0,11,1,0,0,0,0,0,1,0,0,18.0849830530377,0,0,0,17.678,0,1,2,9.32205916357509,0,0,0,8.04191832198252,2,1,2,8.73623876252906,2,1,2,5.15918153493281,2,1,3,13.9679487179487,2,1,0,5,"53100"
"13","1100214","1436",0,0,1,0,0,0,7,0,0,0,0,1,0,0,0,0,17.8726664276744,0,0,0,19.72,1,1,2,9.69844949449185,1,1,0,9.15596172522389,1,1,2,7.95654933780121,2,1,3,6.15074707912411,2,1,4,13.8153846153846,0,0,0,3,"35000"
"14","1100214","1436",0,0,1,0,0,0,7,0,0,0,0,1,0,0,0,0,17.8726664276744,0,0,0,19.72,1,1,2,9.69844949449185,1,1,0,9.15596172522389,1,1,2,7.95654933780121,2,1,3,6.15074707912411,2,1,4,13.8153846153846,0,0,0,3,"35000"
"15","1100214","1436",0,0,1,0,0,0,7,0,0,0,0,1,0,0,0,0,17.8726664276744,0,0,0,19.72,1,1,2,9.69844949449185,1,1,0,9.15596172522389,1,1,2,7.95654933780121,2,1,3,6.15074707912411,2,1,4,13.8153846153846,0,0,0,3,"35000"
"16","1100214","1436",0,0,1,0,0,0,7,0,0,0,0,1,0,0,0,0,17.8726664276744,0,0,0,19.72,1,1,2,9.69844949449185,1,1,0,9.15596172522389,1,1,2,7.95654933780121,2,1,3,6.15074707912411,2,1,4,13.8153846153846,0,0,0,3,"35000"
"17","1100214","1467",0,0,1,0,0,0,7,0,0,0,0,1,0,0,0,0,20.5830042537228,0,1,2,17.3105882352941,2,1,4,7.66619144190751,0,1,3,5.91538834623749,2,1,4,8.2987773416145,2,1,3,6.3386401212659,2,1,4,13.8153846153846,2,1,0,3,"35000"
"18","1100248","1430",0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,17.5845134135451,0,1,2,21.76,0,0,0,6.7040165033595,1,1,2,6.56513121410465,2,1,2,7.58175476290244,2,1,4,8.54136856853817,1,1,0,14.0940170940171,0,0,0,5,"53100"
