SY,GE,VEND,ITEM,VOL_EQ,FLAVOR/SCENT,FORM,PACKAGE,PRODUCT TYPE,SA BRAND,SA MARKET,SA PRIMARY MARKET,SPECIALITY NAME,STORE LOCATION,ADDITIVES,REFILL TYPE,SIZE,TYPE OF FORMULA,USER INFO,BRUSH HEAD SHAPE,COLOR,NUMBER OF TREATMENTS,TREATMENT,TYPE OF DENTAL ACCS,TYPE OF TOOTHPASTE,USAGE
0,1,87958,25089,0.4063,REGULAR,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,WHITENING ANTI CAVTY,ADULT,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
7,1,95159,100,0.1875,REGULAR,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,FLUORIDE,MISSING,MISSING,WHITENING,ADULT,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,370,435,0.1875,SPEARMINT,GEL,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,POTASSIUM NITRATE,MISSING,MISSING,SENSITIVE TEETH,ADULT&CHILD OVER 12,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,27275,20004,0.26,FRESH MINT,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,HERBS,MISSING,MISSING,HERBAL,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,27275,20002,0.26,LICORICE,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,MISSING,MISSING,MISSING,AYURVEDIC,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,27275,20003,0.26,NATURAL,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,MISSING,MISSING,MISSING,AYURVEDIC,ADULT,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,2,50525,20000,0.1875,REGULAR,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,PLANT EXTRACTS,MISSING,MISSING,AYURVEDIC,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
0,1,83000,1640,0.25,COOL MINT,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,XYLITOL & SILICA,MISSING,MISSING,WHITENING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
6,1,10329,10002,0.3125,COOL MINT,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,SODIUM FLUORIDE,MISSING,MISSING,ANTI CAVITY ANTIPLAQ,ADULT & CHILD OVER 2,MISSING,GREEN,MISSING,MISSING,MISSING,MISSING,MISSING
3,1,19810,30137,0.4,FRESH MINT,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,SUGAR FREE FLUORIDE,MISSING,MISSING,ANTI CAVITY,ADULT & CHILD OVER 2,MISSING,GREEN,MISSING,MISSING,MISSING,MISSING,MISSING
6,1,97029,21104,0.25,MILD,PASTE,TUBE IN BOX,TOOTHPASTE,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,SODIUM FLUORIDE,MISSING,MISSING,ANT CVTY BRTH FRSHNR,ADULT & CHILD OVER 2,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
6,1,97029,17777,0.0469,REGULAR,PASTE,TUBE IN BOX,MISSING,MISSING,MISSING,MISSING,MISSING,SHELF STABLE,PROBIOTICS,MISSING,MISSING,MISSING,ADULT & CHILD OVER 2,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
